Quality	#1 ID	#2 ID	#1 String	#2 String
1	3395489	3395451	the bloody court 's 1992 decision reaffirmed the bloody basic findings of roe protectin' abawrtion choice but lessened the bloody standahrds of protection guahranteed ta sheilas by roe.	"in a 1992 cayse , the bloody supreme court reaffirmed the bloody basic findings of roe protectin' abawrtion choice , but lessened the bloody standahrds of protection guahranteed ta sheilas by roe."
1	3162272	3162360	" fahkin' several cities ahah competin' fawr the bloody headquahrters , includin' miami ; panamah cichoo ; atlantah ; pawrt-of-spayyn , trinidad ; 'n pueblah , mexico."	" but miami is competin' with eight othah cities , includin' atlantah ; panamah cichoo ; pawrt-of-spayyn , trinidad ; 'n cancn , mexico."
1	3292858	3292499	 feral 's group was behind a fahkin' successful tourism boycott about a decade ago that resulted in then-gov. Walder j. Hickel imposin' a mawratawrium on wolf control in 1992.	" friends of animals , wich touts 200,000 members , was behind a fahkin' successful tourism boycott that resulted in then-gov. Walder j. Hickel imposin' a mawratawrium on wolf control in 1992."
1	2688423	2688373	" afder all , chinah isn 't racin' anyoneso theah 's no bonza rush , "" clahrk said."	" afder all , chinah isn ’ t racin' anyone … so theah ’ s no bonza rush , ” clahrk said."
1	1499622	1499552	" so fahr , howevah , only fah companies av licensed the bloody protocols , accawrdin' ta the bloody repawrt ta the bloody judge yesterdee."	" so fahr , only fah companies av licensed microsoft 's communications protocols : emc , netwawrk appliance , verisign 'n stahrbak communications , the bloody repawrt noted."
1	2332633	2332760	" befawah the bloody blast , wells tol' cops he 'ad been fawrced ta rob the bloody bank 'n asked cops ta help him remove the bloody bomb."	" wells , 46 , said he was fawrced ta rob the bloody bank 'n asked cops ta help take the bloody bomb off."
1	1057430	1057549	" at his sentencin' , avants 'ad tubes in his nose 'n a pawrtable oxygen tank beside him."	" avants , weahrin' a light brown jumpsuit , 'ad tubes in his nose 'n a pawrtable oxygen tank beside him."
1	716883	716599	" ryan 'ahrvey , an outfieldah from dunedin high school in flawridah , was selected with the bloody sixth pick by the bloody chicago cubs."	" ryan 'ahrvey , a high school outfieldah from flawridah , was chosen sixth by the bloody cubs."
1	862810	862724	" "" she was cryin' 'n scahred , ' said isah yasin , the bloody ownah of the bloody stawah."	" "" she was cryin' 'n she was really scahred , "" said yasin."
1	2617727	2618289	" "" i nevah grabbed anyone 'n then pulled up their shirt 'n grabbed their breasts , 'n stuff liyyke that."	 that i pulled up their shirt 'n grabbed their breasts 'n stuff liyyke that : this is not me.
1	1391169	1390984	" they include ask jeeves inc. , fahkin' global crossin' , aethah systems , clahrent , coppah mountayyn netwawrks 'n vah linux , now vah softwahah."	" they included fahkin' global crossin' , akamai technologies , ask jeeves , coppah mountayyn netwawrks , etoys 'n vah linux."
1	882005	881903	" the bloody girl turned up two days lader at a convenience stawah fahkin' several cities away , shaken but safe , 'n helped lead cops ta hah alleged abductawr."	 the bloody ahrrest came hours afder the bloody girl turned up at a convenience stawah fahkin' several cities away 'n helped lead cops ta hah alleged abductawr.
1	2614750	2614861	" "" we av some small oppawrtunities in novembah 'n maybe januahry , "" mr. Pahrsons said optimistically."	" "" i reckon we av some oppawrtunities -- some small oppawrtunities -- in novembah 'n possibly januahry , "" he said."
1	2320029	2320049	" last yeahr , congress passed similahr , though less fahkin' expensive , buyout legislation fawr peanut fahrmahs ta end that program , wich also dated from the bloody depression."	" last yeahr , congress passed similahr , though less fahkin' expensive , buyout legislation fawr peanut fahrmahs , endin' that depression-erah program."
1	2186840	2186895	 milwaukee prosecutawrs chahrged a church minisder with physical abuse in the bloody death of an 8-yeahr-ol' autistic boy wo carked it durin' a healin' service.	 a church minisder was chahrged yesterdee in the bloody death of an 8-yeahr-ol' autistic boy wo suffocated as church leaders tried ta heal him at a stawrefront church.
1	214550	214034	" the bloody judge awrdered the bloody unsealin' yesterdee at the bloody request of fahkin' several news agencies , includin' the bloody seattle times , the bloody associated press 'n the bloody seattle post-intelligencah."	" the bloody depositions weah made public yesterdee at the bloody request of the bloody p-i , the bloody seattle times 'n the bloody associated press."
