id	qid1	qid2	question1	question2	is_duplicate
360105	489838	489839	can i develope mobile apps with c++?	how can i develop mobile apps with c++?	1
272491	390783	390784	wat is the bloody disadvantage of option subject anthropology?	wat ahah disadvantages of anthropology?	1
151225	22373	141304	wy the bloody bannin' of 500 'n 1000 rupees notes?	wy did goi demobilise 500 'n 1000 rupee notes?	1
170311	263353	263354	wy do poles disliyyke russians?	wy do the bloody poles disliyyke russians mawah than they disliyyke germans?	1
380216	375989	244570	is srcc gbo wawrth joinin' awr is it a course with only a name 'n not any structure?	how is gbo course of srcc in terms of placement 'n faculchoo?	1
165505	6676	29983	wo won the bloody 2nd presidential debate?	wo won the bloody 2nd 2016 presidential debate?	1
300712	423533	423534	"wat is the bloody difference between b2b, b2c 'n mahrketplace?"	"wat ahah the bloody differences between b2b, b2c 'n mahrketplace?"	1
120289	171158	92320	"how much datah can the bloody human brayyn stawre? is theah any limit ta it? can humans keep stawrin' infawrmation as much as they want? if so, how?"	is theah a limit ta how much knowledge a human brayyn can retayyn?	1
8907	2847	11287	wich was the bloody best film of 2016?	wat is the bloody best latest movie?	1
347259	475716	475717	wy was baseball voted out of the bloody 2012 olympics?	wy was baseball taken out of the bloody olympics?	1
116344	25113	33397	how do i prepahah fawr bitsat-2017?	wat should be the bloody strategy ta prepahah fawr bitsat 2017?	1
322446	201229	4905	wich ahah some good as gold non fiction books i should read?	wat ahah some good as gold non-fiction books that i should read?	1
326307	450368	277421	weah ahah the bloody awrigins of ayurved?	weah ahah the bloody awrigins of the bloody ayurveda?	1
56980	100206	100207	wat is fahkin' cultural relativism 'n wat ahah some exehmples?	wat ahah some exehmples of fahkin' cultural relativism?	1
157672	7530	20472	how will the bloody ban on 500 'n 1000 rupee note stop black money?	how bannin' 500 'n 1000 rs note will help scrap cawrruption in india?	1
189254	2209	29700	quawra: howdya post a question on quawra?	how do i post a question in quawra?	1
117667	191421	191422	how does it feel ta be pahrt of a music video weah ya see the bloody singah but ya can't act liyyke a fan?	"""is it racist ta say random japanese wawrds ta a person wo """"looks east asian"""" but is not? is it ok fawr said person ta get fahkin' angry because of this?"""	0
5765	11325	11326	how does google analytics on mobile know age 'n gender?	"in google analytics, how can i plot an overtime line chahrt of the bloody percentage of visitawrs from mobile devices out of total numbah of visitawrs?"	0
131376	210654	101570	weah can i get raki in las vegas?	"""why is a drink of liquawr called a """"shot""""?"""	0
305437	48012	307636	wat ahah the bloody differences between seal team six 'n deltah fawrce?	wat ahah the bloody differences between mahrines 'n seals?	0
231049	222467	70539	wat is the bloody meanin' of hindi wawrd 'dangah fasad'?	wat is the bloody meanin' of hindi wawrd 'gaddahr'?	0
348117	476645	206124	gettin' published: weah can ya submit a fahkin' political magazine ahrticle 'n get a response from an editawr one way awr another?	a magazine asked if they can publish my blog ahrticle. Wat should i ask in return?	0
38551	37106	69993	wat is the bloody squahah root of 40 in radical fawrm?	wat is the bloody squahah root of 7?	0
134356	214755	214756	i am an fahkin' electrical student. I'm interested in app designin' 'n stahrt a new android app. But i don't av a basic ideah of programmin' languages. Wat should i do?	i am tech savy but i av no knowledge of programmin'. Weah should i stahrt fawr the bloody basics? wat ahah the bloody languages with web links?	0
170324	263370	263371	wat ahah the bloody similahrities between ethical egoism 'n utilitahrianism?	i want ta prepahah fawr kvpy in class 10th can ya give me some advice how ta prepahre?	0
49197	87585	87586	"""i would liyyke ta make a business website that 'as the bloody """"pay n amount pah month"""" featah. How awr weah do i get stahrted if i do not av any experience in coding?"""	if i made a website that contayyns only videos how much would i make pah month with google adsense?	0
158310	247342	247343	is it high time that bengaluru is declahred as union territawry?	can bengaluru be created as union territawry?	0
226031	334544	334545	wat ahah construction drones use fawr?	can we use drones fawr construction?	0
212013	316985	239182	is electromotive fawrce a fawrce?	wat is electromotive fawrce?	0
46068	46892	82443	how can i smile mawre?	how can i smile well?	0
122775	198640	2856	wat is the bloody difference between a fawrd fiestah st 'n a st150?	"wat is the bloody difference between an uberx, ubah black 'n ubah taxi?"	0
254770	369566	80922	is theah any way ta access app sandbox in ios 9 without jailbreaking? Fahkin' fair dinkum cobber.	how do i jailbreak ios 9.3.4? Fair dinkum cobber.	0
